196,107,145,339, 636,2080,2778,1794,1836, 368, 324,  67
 76, 75, 73,240, 438,1892,2913,2452,1879, 785, 276, 191
 37,135,150,243, 428,1130,2645,2142,1656, 607, 115,  90
 86,158,107,169, 683,2279,3069,2335,2062, 932, 187,  40
 99,114,131,232, 506,1926,3079,2187,2105, 566,  63,  71
  9, 21,160,165, 425,1233,2968,1956,1620, 464,  95,  25
291,234,240,353, 674,1424,1564,1569,1483,1078, 189, 365
108, 91,102,361, 665,1304,2940,3393,2124, 798, 273, 140
 21,107, 80, 82, 877,1900,2241,3221,1616, 866, 205,  71
 39,165,151,211, 496,1876,2717,1768,1840, 877, 528, 111
 13, 32,331,237, 531,1607,2927,2646,1433, 493, 347,  62
100, 94, 90,188, 596,2130,3311,1903,1685, 739, 596,  62
179, 36,189,165, 621,2043,2690,1879,1881, 830, 282, 155
 71, 74, 82,203, 383,1593,2924,2426,2385, 866, 270, 305
 96, 99,136,199, 528,1940,2728,2479,1327, 737, 321, 502
 49, 12,222,124, 711,1977,3159,2218,1390,1320, 214, 171
176,  6,148,209, 552,1898,3013,2574,1508, 879, 411, 130
197,136,119,259, 531,1323,2743,2800,1250, 382, 531,  72
106,134, 66,243, 448,2035,2797,2781,1693, 940, 254,  68
 26, 11,173,261, 358,2279,3009,2141,1626, 647, 351, 136
115,134,348,207, 595, 834,2571,2297,2222, 602, 173,  71
 53,106, 56,329, 541,1579,3139,3063,2135, 993, 126,  70
224,283,467,252, 946,2416,2568,2309,2256, 970, 642,  22
115,144,181,248, 360,2168,3114,2415,2017,1388, 385, 137
109, 77,118,376, 415,1982,2567,2299,1388, 793, 134, 119
 31, 61, 68,170, 412,2034,2845,2633, 773, 149, 435, 175
 92,124,208,216, 435,1426,2599,2905,1981, 856, 130,  18
 21,307, 28,211, 375,1717,2929,2208,1992, 655, 393, 125
 58, 66, 74,522, 526,1951,1878,1441,1020, 507,  41,  26
153, 67,103,385, 406,1287,2521,2713,2372, 490, 104, 141
274,337,113,316, 391,1149,2225,2590,1256, 540, 431,  95
