350 Year Unified ENSO Proxy Reconstruction
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 350 Year Unified ENSO Proxy Reconstruction 

LAST UPDATE: 7/2010 (Addition of scaled UEP series, 
see description below. Original receipt by WDC Paleo 1/2010) 

CONTRIBUTORS: McGregor, S., A. Timmermann, and O. Timm 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2010-015 

WDC PALEO CONTRIBUTION SERIES CITATION: 
McGregor, S., et al. 2010. 
350 Year Unified ENSO Proxy Reconstruction. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2010-015. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE: 
McGregor, S., A. Timmermann, and O. Timm. 2010. 
A unified proxy for ENSO and PDO variability since 1650. 
Climate of the Past, Vol. 6, pp. 1-17. 
www.clim-past.net/6/1/2010/

ABSTRACT:  
In this manuscript we have attempted to consolidate the common signal 
in previously defined proxy reconstructions of the El Nino-Southern 
Oscillation into one individual proxy titled the Unified ENSO Proxy (UEP). 
While correlating well with the majority of input reconstructions,
the UEP provides better representation of observed indices of ENSO, 
discrete ENSO events and documented historical chronologies of ENSO 
than any of these input ENSO reconstructions.  Further to this, 
the UEP also provides a means to reconstruct the PDO/IPO multi-decadal 
variability of the Pacific Ocean as the low-pass filtered UEP displays 
multidecadal variability that is consistent with the 20th century
variability of the PDO and IPO. The UEP is then used to describe changes 
in ENSO variability which have occurred since 1650 focusing on changes 
in ENSOs variance, multiyear ENSO events, PDO-like multi-decadal 
variability and the effects of volcanic and solar forcing on ENSO. 
We find that multi-year El Nino events similar to the 1990–1995 event
have occurred several times over the last 3 1/2 centuries.
Consistent with earlier studies we find that volcanic forcing 
can induce a statistically significant change in the mean state
of ENSO in the year of the eruption and a doubling of the probability 
of an El Nino (La Nina) event occurring in the year of (three years after) 
the eruption.


GEOGRAPHIC REGION: Pacific Ocean
PERIOD OF RECORD: 1650 - 1977 AD

FUNDING SOURCES:  
US National Oceanic and Atmospheric Administration (NOAA) CCDD program, 
grant number NA08OARH320910. 


DESCRIPTION:   
Unified ENSO Proxy combining ENSO and PDO/IPO Pacific climate variability.  
10 commonly used ENSO proxies (Dunbar et al., 1994; Stahle et al., 1998; 
Cook, 2000; Mann et al., 2000; Evans et al., 2001, 2002; Cobb et al., 2003; 
Cook et al., 2008; Braganza et al., 2009) are consolidated via 
Principal Component Analysis (PCA) into a unified ENSO proxy (UEP) 
that captures the joint features of these reconstructions.

A second scaled UEP column was added to this file in July 2010. 
The scaled column has 20th century variability scaled to match 
the variability of hadSST nino 3 region SSTA. 


DATA: 
Year         UEP       Scaled UEP
1795       0.615       0.300
1796       0.190       0.092
1797      -0.808      -0.396
1798      -0.808      -0.396
1799       0.872       0.426
1800       1.007       0.492
1801      -1.128      -0.553
1802      -0.845      -0.414
1803      -0.231      -0.114
1804       1.131       0.552
1805      -1.102      -0.540
1806      -0.936      -0.459
1807       0.365       0.178
1808      -0.872      -0.428
1809      -0.215      -0.106
1810      -0.001      -0.001
1811      -0.500      -0.246
1812      -0.535      -0.263
1813      -0.723      -0.355
1814       0.529       0.258
1815       1.174       0.573
1816       1.710       0.836
1817       0.296       0.144
1818      -1.126      -0.552
1819      -1.440      -0.705
1820      -1.972      -0.966
1821       0.393       0.191
1822      -0.567      -0.278
1823      -0.637      -0.312
1824       0.207       0.100
1825       0.619       0.302
1826       0.005       0.002
1827       1.011       0.494
1828       1.214       0.593
1829       0.861       0.420
1830       0.050       0.024
1831      -0.477      -0.234
1832       0.679       0.331
1833       2.146       1.049
1834       0.902       0.440
1835       0.027       0.012
1836       0.009       0.003
1837       1.020       0.498
1838       0.862       0.421
1839       2.169       1.060
1840       0.377       0.183
1841       0.065       0.031
1842      -0.865      -0.424
1843       0.040       0.018
1844       0.559       0.273
1845       0.417       0.203
1846       1.006       0.491
1847      -1.034      -0.507
1848       0.285       0.138
1849       0.196       0.095
1850       0.013       0.005
1851      -0.815      -0.400
1852       1.390       0.679
1853       0.792       0.386
1854      -0.221      -0.109
1855      -0.371      -0.183
1856       1.521       0.743
1857      -0.300      -0.148
1858       0.418       0.203
1859      -0.706      -0.346
1860      -1.118      -0.548
1861      -1.001      -0.491
1862      -1.036      -0.508
1863      -1.214      -0.595
1864      -1.661      -0.814
1865       0.530       0.258
1866       0.164       0.079
1867       0.019       0.009
1868       0.212       0.103
1869       1.687       0.824
1870      -0.674      -0.331
1871      -1.229      -0.602
1872      -0.937      -0.459
1873      -0.829      -0.406
1874      -0.163      -0.081
1875       0.229       0.111
1876      -0.450      -0.221
1877       1.161       0.567
1878       1.177       0.575
1879      -0.930      -0.456
1880      -1.824      -0.893
1881       0.386       0.188
1882       0.271       0.131
1883      -0.782      -0.383
1884       0.312       0.152
1885       1.669       0.816
1886       0.016       0.007
1887      -1.748      -0.856
1888       1.233       0.602
1889       1.355       0.662
1890      -1.448      -0.709
1891      -0.019      -0.010
1892      -0.345      -0.170
1893      -2.235      -1.094
1894      -1.742      -0.853
1895      -0.283      -0.139
1896      -0.387      -0.190
1897       1.397       0.683
1898       0.151       0.073
1899      -1.434      -0.702
1900       0.439       0.214
1901       1.037       0.506
1902      -0.977      -0.479
1903       1.673       0.817
1904      -1.858      -0.910
1905       2.417       1.181
1906       2.092       1.022
1907       0.461       0.224
1908       0.304       0.148
1909      -1.138      -0.558
1910      -2.098      -1.027
1911      -0.404      -0.199
1912       1.949       0.952
1913       0.901       0.440
1914       1.821       0.890
1915       2.070       1.012
1916      -0.544      -0.267
1917      -1.167      -0.572
